name,brand,category,description,image_url,rating,review_count
"OPI Infinite Shine, Nail Lacquer Nail Polish, Bubble Bath",OPI,Premium Beauty > Premium Makeup > Premium Nail Polish & Care > Premium Nail Polish,,https://i5.walmartimages.com/asr/0e1f4c51-c1a4-4f38-91bb-fd19317e3e20.aae056ad1dcaab1abc7f13c21ca53440.jpeg,0.0,0.0
"Nice n Easy Permanent Color, 111 Natural Medium Auburn 1 ea (Pack of 3)",Nice'n Easy,Beauty > Hair Care > Hair Color > Auburn Hair Color,"Pack of 3 Pack of 3 for the UPC: 381519000201 Beautiful, natural color. Active Ingredients: Color-Blend Formula: Water; Ethoxydiglycol; Propylene Glycol; Isopropyl Alcohol; Soytrimonium Chloride; Oleth-5; Oleic Acid; Ammonium Hydroxide; Trisodium Ethylenediamine Disuccinate; Fragrance; Oleth-2; C11-15 Pareth-9; Cocamidopropyl Betaine; C12-15 Pareth-3; Erythorbic Acid; Citric Acid; Sodium Sulfite; EDTA; p-Aminophenol; 4-Amino-2-Hydroxytoluene; p-Phenylenediamine; Resorcinol; 2-Methylresorcinol; N,N-Bis(2-Hydroxyethyl)-P-Phenylenediamine Sulfate; 1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate; Phenyl Methyl Pyrazolone; 1-Naphthol. Color-Blend Activator: Water; Hydrogen Peroxide; Acrylates Copolymer; Steareth-21; Oleth-2; Oleth-5; PEG-50 Hydrogenated Palmamide; Acrylates/Steareth-20 Methacrylate Copolymer; Oleyl Alcohol; Etidronic Acid; Disodium EDTA; Simethicone. Colorseal Conditioning Gloss: Water; Amodimethicone; Stearyl Alcohol; Cetyl Alcohol; Stearamidopropyl Dimethylamine; Glutamic Acid; Fragrance; Benzyl Alcohol; Panthenyl Ethyl Ether; EDTA; Panthenol; Trimethylsiloxysilicate Carthamus Tinctorius (Safflower) Seed Oil; Cocos Nucifera (Coconut) Oil; Hydrolyzed Sweet Almond Protein; Methylchloroisothiazolinone; Methylisothiazolinone; Aloe Barbadensis Leaf Uses: Salon experts know it takes a perfect blend of tones to create amazingly natural color results. Nice n Easy creates beautifully blended natural-looking shades for you, just like the experts, in one easy step! Q. How do I know if Nice n Easy is right for me? A. Nice n Easy gives you ultimate natural-looking color with highlights and shine in just one easy step. Browns are brilliant, blondes are illuminating, and reds are radiant. Q. How does it work? A. Only Nice n Easy has our exclusive Color-blend formula. In one step, each shade gives you an expert blend of 3 tones that work together to create natural-looking color with shining dimension. Q. Will it cover my grays? A. Yes! Nice n Easy promises 100% gray coverage even on resistant grays. Q. How long will it last? A. Nice n Easy lasts for up to 6 weeks. And for your radiant red shade, youll find 6 weekly treatments of our exclusive ColorSeal Conditioning Gloss to seal in healthy-looking color and add intense shine.",https://i5.walmartimages.com/asr/9c8e42e4-13a5-4b7e-aa1b-3af15267c55c_1.5e1a4b5e7161c6c26008e5c8f1569d7c.jpeg,0.0,0.0
"Clairol Nice N Easy Permanent Color 7/106A Natural Dark Neutral Blonde, 1.0 KIT",Clairol,Beauty > Hair Care > Hair Color > Permanent Hair Color,"This Clairol Nice N Easy Permanent Color gives you up to 8 weeks of true-to-you color with three salon tones for a blend of highlights and lowlights. Its expertly designed to work with your unique hair, to give you the stylish look you want. The neutral blonde color offers salon-quality permanent hair color without the cost. You can easily keep your color looking vibrant with Clairol CC+ ColorSeal Conditioner, which locks in softness and shine, sold separately. To cover grays between colorings, try Nice n Easy Root Touch-Up to blend seamlessly with your color. This natural dark hair color is easy to apply so you can have fresh looking color right from the comfort of your own home. The 7/106A comes as 1 kit, providing you with just what you need to color your hair as desired. Its available in many shades. This Clairol Nice N Easy Permanent Color will make a lovely addition to your haircare routine. Clairol Nice N Easy Permanent Color 7/106A Natural Dark Neutral Blonde, 1.0 Kit: Provides up to 8 weeks of color Made with 3 salon tones to offer a blend of highlights and lowlights Salon quality permanent color Neutral blonde color is easy to use Available in 10/87 Ultra Light Natural Blo, 118 Natural Medium, 2 Natural Black, 2.5/123 Soft Black, 2BB/124 Natural Blue Black, 3.5/121A Natural Darkest Brown, 4/120 Natural Dark Brown, 4GB/113 Natural Dark Burgundy4R/112 Natural Dark Auburn, 4W/1120B Dark Caramel Brown and more",https://i5.walmartimages.com/asr/e3a601c2-6a2b-4cc8-bb35-a9049930ded9_1.ab14e053feea88a9026baeca4d49cb77.jpeg | https://i5.walmartimages.com/asr/0486808b-9ce5-4df5-bf1e-da93f1dcbf83_1.dda3e2ede735f709cf380158706b30c5.jpeg | https://i5.walmartimages.com/asr/430f222f-7889-4016-836d-d82a9c4828b0_1.489791f211ea0d0b7afd6bdb49e4334a.jpeg | https://i5.walmartimages.com/asr/56b9720a-542d-4659-b96c-1b21538e841c_1.2d25a3568680a10f9fc13ec3bdb55936.jpeg | https://i5.walmartimages.com/asr/765046f4-f3f9-406d-8544-5f99dbc1b508_1.4bd398150d394b8480c4d6052b130b73.jpeg | https://i5.walmartimages.com/asr/2e393d46-7b44-41ed-afa2-dc1869f2500f_1.80b12f897c3321b65293529848062622.jpeg | https://i5.walmartimages.com/asr/757b7b18-c2a9-4677-bd5a-661175983ba1_1.219bca851bc5c1aa6d27067579a94d7b.jpeg,4.5,29221.0
"Kokie Professional Matte Lipstick, Hot Berry, 0.14 fl oz",Kokie Cosmetics,Beauty > Makeup > Lip,"Calling all matte lip lovers! Indulge in our rich, creamy matte lipsticks. Bold, long-lasting and opaque, these babies pack a serious punch! Pair with one of our lip liners for extra definition, or our lip primer for even longer wear. So go ahead and grab these for a matte lip that won?t quit.Kokie Professional Sienna Matte Lipstick: A highly-pigmented, rich, long-wear matte lipstick for intense color High payoff color Smooth matte application",https://i5.walmartimages.com/asr/25b4b467-bc61-4e59-ba14-a123866e3384_1.453b236381c1d21a20c646821a47da0a.jpeg,0.0,0.0
"Gillette TRAC II Plus Razor Blade Refills, Fit TRAC II Handles, 10 ct",Gillette,Seasonal > Stock Up Essentials > Personal Care Stock Up > Stock up on Shave,"In 1971, Gillette introduced the Trac II razor system. This Trac II razor was the first fixed head twin-blade shaving system of its kind in North America. Still popular today, get the close shave youve always wanted with these Gillette Trac II Plus razor blade refills. These blade refill cartridges feature a lubrastrip for great smoothness and comfort as well as twin comfort blades that glide across your skin for a clean, close comfortable shave. The lubrastrip for glide, helps fight razor burn. The easy loading system makes changing razor blades fast, and cleaning it is even easier, making this perfect for use on your face and neck – Just slide and reload. For an even better shave, use with your favorite Gillette shave gel, cream or foam. Each pack of Gillette Trac II Plus refills comes with 10 blade refills. The Gillette Trac II Plus refills fit any Gillette Trac II razor handle Gillette TRAC II Plus Razor Blade Refills, Fit TRAC II Handles, 10 Ct: LUBRASTRIP for glide, helps fight razor burn for comfort and smoothness TWIN BLADES - Fixed head twin blades that glide across your skin for a clean, close, comfortable shave EASY LOADING SYSTEM makes changing razor blades fast, and cleaning it is even easier, making this perfect for use on your face and neck – Just slide and reload 10 BLADE REFILLS - each pack contains 10 razor blade refills that will fit all Gillette Trac II handles For best results, use with your favorite Gillette Shave gel, cream or foam",https://i5.walmartimages.com/asr/1a2ebb06-cd01-4c73-9c6a-28a9c5ff8c1d.49cd30de37f9863bc4b217384bdedbcc.jpeg | https://i5.walmartimages.com/asr/3201391a-02cd-44b4-9112-641e407b8333.4224c67e1423877e778c613cfc7695bc.jpeg | https://i5.walmartimages.com/asr/7d5f5581-1fa2-44f5-878b-9b07da3bcdab.f38f6a90c05b25f2acb3993f288096a0.jpeg | https://i5.walmartimages.com/asr/38f166ea-3ef0-4a80-97cd-390f3830618e.5c9b0fde0c76990a300846b3e4ccb506.jpeg | https://i5.walmartimages.com/asr/44337d82-c7fb-476e-85e3-34c6d198922f.0c84ac688d94f8d7df8be9299a5d70c5.jpeg | https://i5.walmartimages.com/asr/8c250c82-4c32-4afe-9541-a4791f333a90.a0ad3d2c46475242722732c4c79692c3.jpeg | https://i5.walmartimages.com/asr/e6e0df7a-2ce0-4ba1-809e-6bc5d26e3a9d.c08f23e98f2a55897c1698357004146c.jpeg,0.0,131.0
"Old Spice Artisan Styling High Hold Matte Finish Molding Clay, 2.64 oz",Old Spice,Beauty > Hair Care > Hair Care Brands > Old Spice Haircare,"Old Spice Artisan Molding Clay is a Mens Styling product that allows men sculpt their hair into a moldable look with high hold and a matte finish. Old Spice Artisan Styling High Hold Matte Finish Molding Clay, 2.64 oz: Old Spice Artisan Molding Clay provides high hold and a matte finish Old Spice Artisan Molding Clay helps tame and shape your hair For a moldable look Available in one size: 75 g / 2.64 oz. puck",https://i5.walmartimages.com/asr/73214b95-72ce-40f9-abdb-0457139c8923.adb0d9e009ea5b6754edcaf70f6de317.jpeg | https://i5.walmartimages.com/asr/4bfbf765-49bf-4819-b8df-f58d098c8cfd.49feca0a9c20973671fba565f81ee2c6.jpeg | https://i5.walmartimages.com/asr/98e92276-7f38-47bc-a08e-f7cb95699c69.f8eb0bd163a8957ac43fb4de08a4d39c.jpeg | https://i5.walmartimages.com/asr/60d1c8b0-487c-4c92-ae27-a45bfb16fa95.28d1c8c77cf97830089b7d04f0d00ad9.jpeg,4.6,52.0
"Colgate My First Baby and Toddler Toothpaste, Fluoride Free and SLS Free, 1.75 Oz",Colgate,Personal Care > Oral Care > Kids Oral Care,"Colgate My First Baby and Toddler Toothpaste is a safe fluoride-free toothpaste formula for the littlest members of the family. This baby toothpaste, specially designed for kids under 2 years old, gently cleans teeth and does not contain artificial colors, preservatives, or SLS (sodium lauryl sulfate). With a mild fruit flavor that helps make brushing teeth more enjoyable, this baby and toddler toothpaste is designed with a convenient stand-up tube with twist off cap. Baby & Toddler Toothpaste Specially Designed for Kids Under 2 Years Old No Artificial Colors, Preservatives, or SLS (Sodium Lauryl Sulfate) Fluoride Free Toothpaste, Safe If Swallowed Mild Fruit Flavor to Enhance Brushing Experience Stand-Up Toothpaste Tube for Cleaner Dispensing",https://i5.walmartimages.com/asr/d28b16f4-1bd4-4581-80de-aa0f2d9707ad_2.a2712e11bdd9f7b6f4e3cea4e3f9387f.png | https://i5.walmartimages.com/asr/bfea2590-c921-45f8-8e98-d496b560e60c_1.77eb422113008810678c47f1b0b3ff45.png | https://i5.walmartimages.com/asr/737c6682-ab22-4604-89c8-6fd642c43257_1.9ace2aba3177b3e6a5a070ec6c3d5b1b.png | https://i5.walmartimages.com/asr/8fe9d812-aa45-4b35-8d8c-500a362ce213_1.2bce5e6153db1dc8b02fb5d4aa23c4c2.png,4.3,10.0
BMC Bright and Loud Cream Gel Lacquer Polish Set - Neon Wasteland Collection,BMC,Beauty > Makeup > Nails,"Lights, Sick Beats, and Epic Gel Polish! We present to you, Neon Wasteland. This 6 piece collection of neon colored is inspired by the biggest EDM festival and art show in Las Vegas. Each color will breed new, and bright, life into your next gel manicure. You can pick the 6 color master set or individual colors: COSMIC-A-GO-GO (G106), a neon orange that will have you standing out even in a bright EDM crowd, L.E.D. AIRWAVES (G107), a neon yellow so bright it�s the perfect accessories to your EDM outfit, FAIRY FANTASTIC (G108), a neon green so epic your EDMers will be flocking to your nails vs the DJ, DAISY DUST (G109), a neon pink so dramatic that a bright EDM art expo cant compare to your mani, DANCE-TRONAUTS (G110), a neon purple that will put onlookers in a trance like a deep bassline, and ELECTRIC FIELDS (G111), a neon blue so bright that not even an EDM light show can dull your mani. *NOTE*: This collection falls under a 3-Step application process: 1) Apply a thin layer of base coat to prepped, oil-free nails and cure under lighting system. 2) With the Cali Dreamin gel polish of your choosing, apply a thin layer to base coat. cure, and then repeat. 3) Apply a thin layer of top coat and cure. *Ingredients*: Acrylate Oligomers, Ultraviolet Light Initator, Acrylic Monomers, and Inorganic Pigments. *DISCLAIMERS*: Due to differences between monitor displays, actual color may vary slightly from image. b.m.c is a registered trademark of Remi Collections LLC and is exclusively distributed by Bundle Monster. The b.m.c trademark is protected by US Trademark Law. BIG, BLIGHT, AND BOLD COLORS will engulf your next gel manicure with these stunning polishes. NEON WASTELAND is a collection of neon gel lacques mused from the bass and lights of the EDM world. CREAMY AND DREAMY NAIL LACQUERS! All gel polishes in this collection has a creamy finish to them. UV and LED lamps need to have a minimum power of 9 watts. CURE TIMES vary per lighting system. SEE OUR PRODUCT DESCRIPTION for more on our 3 Step application process and other Tips and Tricks! BMC Bright and Loud Cream Gel Lacquer Polish Set - Neon Wasteland Collection",https://i5.walmartimages.com/asr/93f8bbf3-2dfd-463d-a2b1-f053f228ec71_1.127e64ffab0b55222799a1204d446d44.jpeg | https://i5.walmartimages.com/asr/fe8d4e2b-5f59-44d9-8d5b-474464883504_1.f1744918f11327fa444af5e17d009dbf.jpeg,0.0,0.0
Suave Extra Hold 7 Shaping Mousse 9 oz (Pack of 6),Suave,Beauty > Hair Care > Hair Care Brands > Suave,"Free Shipping Pack of 6 Pack of 6 for the UPC: 079400816603 Say yes to beautiful. Active Ingredients: Water (Aqua); Isobutane; Dimethyl Ether; Polyquaternium-4; Propane; Cocamidopropyl Betaine; Glycerin; Steareth-2; DMDM Hydantoin; Fragrance (Parfum); Dimethiconol; TEA-Dodecylbenzenesulfonate; Laureth-23; Cyclomethicone; Tocopherol (Vitamin E); Panthenol; Butylene Glycol; AMP-Isostearoyl Hydrolyzed Soy Protein Uses: Provides control and manageability for less than more expensive brands. Extra hold formula gives hair body, volume and lift. Weightless formula leaves hair feeling soft and manageable. Vitamin and protein enriched formula replenishes all hair types. Never too stiff or sticky. Contains no CFCs.",https://i5.walmartimages.com/asr/05f5ba16-335d-418d-9b33-45346f68200c_1.9c7d14bf0f0acf199e0c0781e1f90f54.jpeg,5.0,1.0
"(3 pack) Vaseline Lip Therapy Tinted Lip Balm Mini, Rosy 0.25 oz",Vaseline,Health > Lip Care > Vaseline,"Vaseline Lip Therapy Lip Balm Mini Rosy is clinically proven to help heal dry lips. The non-sticky formulas of Vaseline lip balm minis are invitingly soft and melt onto lips. The Vaseline Lip Therapy Rosy Mini comes in iconic packaging that fits neatly in your pocket or purse, so you can hydrate on-the-go. Vaseline for Lips is the perfect lip moisturizer. With its original formula, Vaseline Lip Therapy is a lip balm you can rely on that provides long-lasting relief from dryness. This everyday essential for healthy-looking lips is made with pure Vaseline Jelly, just like all Vaseline lip care products. Vaseline Jelly is the original wonder jelly that has been helping to heal dry skin since 1870, and now you can get all its benefits in a lip balm product exclusively designed for lips. The top, protective layer of skin on your lips is thinner than on the rest of your body, so it needs a lip balm that provides long lasting moisturization. These formulas help support the natural recovery of your dry lips by locking in moisture. Perfect for On-The-Go. The elements can be hard on your lips, so its essential to keep them moisturized. Vaseline Lip Therapy Lip Balm Mini Rosy is great for safeguarding against dryness caused by weather, so you can be confident that your lips are ready to face the outdoors. Vaseline Lip Therapy Rosy Tinted Lip Balm Mini, 0.25 oz Helps to lock in moisture for beautiful, healthy lips - good for a daily lip treatment This Vaseline lip moisturizer Gives lips a natural, glossy shine Tinted lip balm made from pure Vaseline Jelly Provides long-lasting moisturization and lip care Choose from original, rose, cocoa butter, and crÃ¨me brulee scented lip balm Non-sticky, non-greasy formula, this lip balm is suitable for regular use",https://i5.walmartimages.com/asr/6fced36e-5459-449f-9390-f239c379bd6a_1.75276199dfa8877b4d188f032029913f.jpeg | https://i5.walmartimages.com/asr/34e30627-9d35-4733-a4fc-720b0ab9a3b5_1.9c757d09408382e4b323fa8606c2b252.jpeg | https://i5.walmartimages.com/asr/9dcf61a4-9e42-4070-9d03-8495992a0bb7_1.8d62f2d74eab7e6178dc0cb128db099e.jpeg | https://i5.walmartimages.com/asr/6e737be5-e42c-4d57-82f5-8a2398b19633_1.4f0f06e450cdf4319ac7981a9f05004a.jpeg | https://i5.walmartimages.com/asr/9d45e3d7-be58-4a8c-bfc6-ef21db656a76_1.ad8ad1264e7c11807ca7b9f849600219.jpeg | https://i5.walmartimages.com/asr/b058a156-ba39-4a97-80a3-63355fc1905a_1.9f67075cc1bbadf55946efa63d004ec4.jpeg | https://i5.walmartimages.com/asr/af15b258-5139-4dca-bfaf-b3b5b8e7d02f_1.d36b6b954c900c833c6c87890b4fe9c5.jpeg,0.0,950.0
